source,target,BW,PR
f_0,f_1,42454740,5
f_0,f_2,26301581,5
f_0,f_3,49887607,5
f_0,f_5,6524999,5
f_0,f_7,43218729,4
f_0,f_9,50519263,3
f_0,f_10,15012124,4
f_0,f_11,13746286,3
f_0,f_13,55822740,5
f_0,f_14,16431932,4
f_0,f_17,24908343,5
f_0,f_18,20135116,5
f_0,f_19,29010306,3
f_0,f_20,52137151,5
f_0,f_22,23715659,5
f_0,f_23,38784817,4
f_0,f_25,9409056,3
f_0,f_28,48566108,4
f_0,f_32,24567695,3
f_0,f_36,6237947,4
f_0,f_38,57748935,3
f_0,f_44,48755954,4
f_0,f_45,16843582,5
f_0,f_47,35651079,5
f_0,f_50,53356540,4
f_0,f_57,43641822,3
f_0,f_60,13507729,3
f_0,f_61,52373541,3
f_0,f_68,42613944,3
f_0,f_71,30777665,5
f_0,f_77,43079331,3
f_0,f_78,34842498,3
f_0,f_86,8807087,4
f_0,f_88,30471348,3
f_0,f_91,30012171,3
f_0,f_98,51772720,3
f_1,f_3,50757143,3
f_1,f_4,29734971,5
f_1,f_6,33271524,5
f_1,f_7,56296591,3
f_1,f_8,21887173,3
f_1,f_15,59679509,3
f_1,f_17,33668609,3
f_1,f_21,18036690,5
f_1,f_27,28292589,4
f_1,f_28,59837088,5
f_1,f_43,55328876,3
f_1,f_45,23905028,3
f_1,f_49,58839808,5
f_1,f_65,13254174,4
f_1,f_67,8598764,4
f_1,f_75,20927274,3
f_1,f_78,36890427,4
f_1,f_97,26481012,3
f_1,f_99,20960146,3
f_2,f_4,50294077,3
f_2,f_16,32740599,4
f_2,f_41,24696734,3
f_2,f_57,57897072,4
f_2,f_79,29565017,5
f_3,f_8,40185636,4
f_4,f_5,51601688,5
f_4,f_6,28223091,3
f_4,f_12,13740453,4
f_4,f_13,17983483,5
f_4,f_15,23815146,3
f_4,f_16,13274771,5
f_4,f_18,35163080,4
f_4,f_19,54891831,4
f_4,f_23,35285897,5
f_4,f_30,40321020,3
f_4,f_36,31850027,5
f_4,f_40,18755970,4
f_4,f_53,8978729,5
f_4,f_62,35263324,3
f_4,f_64,40891263,5
f_4,f_69,52094202,5
f_4,f_74,55791426,5
f_4,f_80,51005117,3
f_4,f_83,30442489,4
f_4,f_86,10695862,5
f_4,f_87,28159349,5
f_4,f_93,27066522,5
f_4,f_99,14363463,5
f_5,f_11,26154286,5
f_5,f_12,26755742,5
f_5,f_22,33406784,4
f_5,f_24,33004632,5
f_5,f_30,25841084,5
f_5,f_33,14542139,3
f_5,f_34,34215675,5
f_5,f_39,31444008,5
f_5,f_42,56206460,3
f_5,f_62,47306506,5
f_5,f_67,26196404,4
f_6,f_9,42771443,3
f_6,f_29,26392702,4
f_6,f_31,20105121,4
f_6,f_37,58731382,5
f_6,f_50,46712368,5
f_6,f_55,27625779,4
f_6,f_60,35647757,4
f_6,f_82,51340576,3
f_7,f_59,40304306,4
f_8,f_10,59266680,5
f_8,f_14,17387796,5
f_8,f_20,11690532,4
f_8,f_26,40591398,5
f_10,f_32,48475941,5
f_10,f_51,28494103,3
f_10,f_58,56408027,3
f_10,f_85,51150553,4
f_10,f_95,21075379,3
f_11,f_61,15888757,3
f_12,f_37,9101350,3
f_12,f_84,37885860,5
f_13,f_26,57572446,3
f_13,f_40,36562461,4
f_15,f_46,48262839,5
f_15,f_47,19048327,5
f_15,f_73,52731542,4
f_16,f_21,39177090,4
f_16,f_33,22373518,3
f_16,f_43,50027307,5
f_16,f_49,6372106,3
f_16,f_68,58238909,4
f_16,f_96,20686180,3
f_17,f_38,59962898,5
f_17,f_46,40759556,4
f_17,f_52,9370098,5
f_18,f_51,22723413,3
f_18,f_54,36632634,3
f_19,f_24,59782157,4
f_21,f_25,50800383,5
f_21,f_34,43508841,5
f_21,f_75,27293505,4
f_22,f_42,47114401,5
f_22,f_76,39875089,4
f_24,f_27,42767064,4
f_24,f_35,16680906,5
f_24,f_72,37854862,4
f_25,f_35,23394050,3
f_26,f_29,48792734,4
f_26,f_64,57392886,5
f_26,f_65,38520755,5
f_26,f_84,22055518,4
f_26,f_91,35519350,3
f_27,f_44,53885185,4
f_27,f_56,21736597,4
f_27,f_90,28538346,4
f_27,f_92,42249002,3
f_29,f_31,15286126,3
f_30,f_98,21519695,4
f_31,f_39,52570183,3
f_31,f_55,53406986,3
f_31,f_56,10310325,4
f_32,f_81,33353530,4
f_32,f_82,42414017,4
f_33,f_48,33902136,3
f_33,f_59,19880420,4
f_33,f_97,32137346,5
f_34,f_58,52675757,3
f_35,f_71,57378182,5
f_35,f_89,31526938,4
f_37,f_41,6395679,4
f_37,f_53,26039555,4
f_37,f_81,34120042,5
f_39,f_70,56164927,5
f_41,f_93,42650318,5
f_43,f_48,20800101,4
f_43,f_80,20725136,4
f_45,f_63,35248457,4
f_45,f_69,7947822,4
f_49,f_52,28557271,5
f_49,f_54,51576440,4
f_49,f_76,54598989,3
f_49,f_95,37366021,3
f_50,f_66,47758957,5
f_50,f_72,7809687,4
f_50,f_88,45721251,5
f_52,f_63,50493160,3
f_57,f_70,11633618,5
f_57,f_85,34763716,3
f_57,f_94,36984058,3
f_59,f_96,9374544,4
f_61,f_66,31441229,4
f_62,f_87,20204281,4
f_64,f_79,27934250,4
f_66,f_73,57085260,4
f_66,f_74,24673485,4
f_69,f_77,22929655,3
f_69,f_89,37561757,3
f_74,f_83,56266167,5
f_79,f_90,9495405,4
f_79,f_92,21047294,5
f_87,f_94,10604900,5
